Title	Lat	Lng	Type	Country	City
St Pacras	51,53	-0,125	1	Inglaterra	Londres
Westminster Bridge	51,500833	-0,121944	1	Inglaterra	Londres
Trafalgar Square	51,508056	-0,128056	1	Inglaterra	Londres
Houses of Parliament	51,499167	-0,124722	1	Inglaterra	Londres
Westminster Abbey	51,499444	-0,1275	1	Inglaterra	Londres
Buckingham Palace	51,501	-0,142	1	Inglaterra	Londres
BIG BEN	51,500756	-0,124661	1	Inglaterra	Londres
Black Friar	51,512104	-0,103783	1	Inglaterra	Londres
Marble Arch	51,513056	-0,158889	1	Inglaterra	Londres
Oxford Street	51,513611	-0,155556	1	Inglaterra	Londres
Piccadilly Circus	51,51	-0,134444	1	Inglaterra	Londres
Harrods	51,499722	-0,163611	1	Inglaterra	Londres
Tower Bridge	51,505556	-0,075556	1	Inglaterra	Londres
Casa	-19,8753779	-43,9358299	1	Brasil	Belo Horizonte
Belo Horizonte	-19,816944	-43,955833	0	Brasil	Belo Horizonte
Londres	51,5002	-0,1262	0	Inglaterra	Londres
Paris	48,8567	2,351	0	França	Paris
Roma	41,8955	12,4823	0	Itália	Roma